№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
109.0,18006093001.0,109/408,+99,ЖК UNO. Старокоптевский | https://erzrf.ru/novostroyki/zhk-uno-starokoptevskij-18006093001?regionKey=143443001&gkId=18006093001,г.Москва,"г.Москва, округ Северный, р-н Коптево, пер.Старокоптевский",44.0,2.0,комфорт,дома повышенной этажности,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
110.0,9788983001.0,109/408,+1,ЖК Английский квартал | https://erzrf.ru/novostroyki/zhk-anglijskij-kvartal-9788983001?regionKey=143443001&gkId=9788983001,г.Москва,"г.Москва, округ Центральный, р-н Замоскворечье, ул.Мытная",44.0,1.0,элитный,многоэтажные дома,Автокомбинат № 32 | https://erzrf.ru/zastroyschiki/brand/9788656001?regionKey=0&organizationId=9788656001,н/р
111.0,8995529001.0,111/414,+1,ЖК Сиреневый парк | https://erzrf.ru/novostroyki/zhk-sirenevyj-park-8995529001?regionKey=143443001&gkId=8995529001,г.Москва,"г.Москва, округ Восточный, р-н Богородское, ул.Тагильская",43.85,300.0,комфорт,высотные дома,AFI Development | https://erzrf.ru/zastroyschiki/brand/1189186001?regionKey=0&organizationId=1189186001,4.5
112.0,6690530001.0,112/421,+1,ЖК Академика Павлова | https://erzrf.ru/novostroyki/zhk-akademika-pavlova-6690530001?regionKey=143443001&gkId=6690530001,г.Москва,"г.Москва, округ Западный, р-н Кунцево, ул.Академика Павлова",43.45,28.0,комфорт,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
113.0,21928010001.0,113/429,+1,ЖК Бунинские луга (д. Столбово) | https://erzrf.ru/novostroyki/zhk-buninskie-luga-d-stolbovo-21928010001?regionKey=143443001&gkId=21928010001,г.Москва,"дер.Столбово, округ Новомосковский, ул.Александры Монаховой",43.25,25.0,эконом,многоэтажные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
114.0,21927818001.0,113/429,+1,ЖК Бунинские луга (п. Коммунарка) | https://erzrf.ru/novostroyki/zhk-buninskie-luga-p-kommunarka-21927818001?regionKey=143443001&gkId=21927818001,г.Москва,"пос.Коммунарка, округ Новомосковский, ул.Александры Монаховой",43.25,25.0,комфорт,многоэтажные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
115.0,3076964001.0,113/429,+1,ЖК Бунинские луга (п. Сосенское) | https://erzrf.ru/novostroyki/zhk-buninskie-luga-3076964001?regionKey=143443001&gkId=3076964001,г.Москва,"с.п.Сосенское, округ Новомосковский",43.25,25.0,комфорт,многоэтажные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
116.0,4352917001.0,113/429,+17,ЖК Домашний | https://erzrf.ru/novostroyki/zhk-domashnij-4352917001?regionKey=143443001&gkId=4352917001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Марьино, ул.Донецкая",43.25,47.0,комфорт,высотные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
117.0,22497739001.0,113/429,+1,ЖК Хамовники 12 | https://erzrf.ru/novostroyki/zhk-khamovniki-xii-22497739001?regionKey=143443001&gkId=22497739001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, пер.1-й Тружеников",43.25,8.0,элитный,многоэтажные дома,Coldy | https://erzrf.ru/zastroyschiki/brand/9910196001?regionKey=0&organizationId=9910196001,2.5
118.0,3182144001.0,118/436,0,ЖК BALCHUG RESIDENCE | https://erzrf.ru/novostroyki/zhk-balchug-residence-3182144001?regionKey=143443001&gkId=3182144001,г.Москва,"г.Москва, округ Центральный, р-н Замоскворечье, ул.Садовническая",43.15,3.0,элитный,среднеэтажные дома,ГК ИНТЕКО | https://erzrf.ru/zastroyschiki/brand/430013001?regionKey=0&organizationId=430013001,н/р
119.0,15953267001.0,118/436,0,ЖК Архитектор | https://erzrf.ru/novostroyki/zhk-arkhitektor-15953267001?regionKey=143443001&gkId=15953267001,г.Москва,"г.Москва, округ Юго-Западный, р-н Обручевский, ул.Академика Волгина",43.15,111.0,элитный,высотные дома,ГК ФСК | https://erzrf.ru/zastroyschiki/brand/755344001?regionKey=0&organizationId=755344001,4.0
120.0,9721379001.0,118/436,0,ЖК Клубный дом Full House | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-full-house-9721379001?regionKey=143443001&gkId=9721379001,г.Москва,"г.Москва, округ Западный, р-н Тропарёво-Никулино, пр-кт Вернадского",43.15,61.0,бизнес,высотные дома,Холдинг Sezar Group | https://erzrf.ru/zastroyschiki/brand/1214960001?regionKey=0&organizationId=1214960001,4.5
121.0,13154042001.0,121/443,0,ЖК Eleven (ЖК 11) | https://erzrf.ru/novostroyki/zhk-eleven-zhk-11-13154042001?regionKey=143443001&gkId=13154042001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, ш.Звенигородское",43.0,11.0,элитный,дома повышенной этажности,ГК РосСтройИнвест | https://erzrf.ru/zastroyschiki/brand/1762521001?regionKey=0&organizationId=1762521001,5.0
122.0,23882379001.0,122/446,0,ЖК LUCE | https://erzrf.ru/novostroyki/zhk-luce-23882379001?regionKey=143443001&gkId=23882379001,г.Москва,"г.Москва, округ Центральный, р-н Арбат, пер.Крестовоздвиженский",42.9,33.0,элитный,среднеэтажные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
123.0,23870671001.0,123/452,+141,ЖК Emotion на Силикатном | https://erzrf.ru/novostroyki/zhk-emotion-na-silikatnom-23870671001?regionKey=143443001&gkId=23870671001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, пр-д 2-й Силикатный",42.8,131.0,бизнес,высотные дома,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
124.0,10025445001.0,124/457,-1,ЖК Turgenev | https://erzrf.ru/novostroyki/zhk-dom-po-per-kostjanskij-10025445001?regionKey=143443001&gkId=10025445001,г.Москва,"г.Москва, округ Центральный, р-н Красносельский, пер.Костянский",42.75,6.0,элитный,многоэтажные дома,ПСО НеоСтрой | https://erzrf.ru/zastroyschiki/brand/10017635001?regionKey=0&organizationId=10017635001,н/р
125.0,11517772001.0,125/459,-1,ЖК Фестиваль парк - 2 | https://erzrf.ru/novostroyki/zhk-festival-park---2-11517772001?regionKey=143443001&gkId=11517772001,г.Москва,"г.Москва, округ Северный, р-н Левобережный, ул.Фестивальная",42.7,144.0,бизнес,высотные дома,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
126.0,20505823001.0,126/473,-1,ЖК Legacy | https://erzrf.ru/novostroyki/zhk-legacy-20505823001?regionKey=143443001&gkId=20505823001,г.Москва,"г.Москва, округ Западный, р-н Раменки, пр-кт Мичуринский",42.5,119.0,элитный,многоэтажные дома,Найоме-Инвест | https://erzrf.ru/zastroyschiki/brand/23576581001?regionKey=0&organizationId=23576581001,н/р
127.0,15723502001.0,127/478,-1,"ЖК Врубеля,4 | https://erzrf.ru/novostroyki/zhk-vrubelja4-15723502001?regionKey=143443001&gkId=15723502001",г.Москва,"г.Москва, округ Северный, р-н Сокол, мрн Сокол, ул.Врубеля",42.45,1.0,бизнес,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
128.0,22889326001.0,128/482,+15,ЖК Квартал Западный | https://erzrf.ru/novostroyki/zhk-kvartal-zapadnyj-22889326001?regionKey=143443001&gkId=22889326001,г.Москва,"дер.Большое Свинорье (в составе г. о. Москва), округ Новомосковский",42.4,193.0,эконом,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
129.0,3685880001.0,129/484,-2,ЖК Ривер Парк | https://erzrf.ru/novostroyki/zhk-river-park-3685880001?regionKey=143443001&gkId=3685880001,г.Москва,"г.Москва, округ Южный, р-н Нагатинский Затон, ул.Речников",42.35,461.0,комфорт,многоэтажные дома,Речников Инвест | https://erzrf.ru/zastroyschiki/brand/4849083001?regionKey=0&organizationId=4849083001,4.0
130.0,24548689001.0,130/490,-1,ЖК JOIS | https://erzrf.ru/novostroyki/zhk-jois-24548689001?regionKey=143443001&gkId=24548689001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, пр-д 3-й Силикатный",42.2,144.0,элитный,высотные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
131.0,24836333001.0,131/494,+135,ЖК EvoPark Сокольники | https://erzrf.ru/novostroyki/zhk-evopark-sokolniki-24836333001?regionKey=143443001&gkId=24836333001,г.Москва,"г.Москва, округ Восточный, р-н Преображенское, ул.Потешная",42.1,121.0,бизнес,дома повышенной этажности,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
132.0,12473995001.0,132/499,-1,ЖК ALIA (АЛИА) | https://erzrf.ru/novostroyki/zhk-alia-alia-12473995001?regionKey=143443001&gkId=12473995001,г.Москва,"г.Москва, округ Северо-Западный, р-н Покровское-Стрешнево, ул.Летная",41.95,237.0,бизнес,высотные дома,Специализированный застройщик Резиденс | https://erzrf.ru/zastroyschiki/brand/25306723001?regionKey=0&organizationId=25306723001,1.5
133.0,8223122001.0,132/499,-1,ЖК West Garden | https://erzrf.ru/novostroyki/zhk-west-garden-8223122001?regionKey=143443001&gkId=8223122001,г.Москва,"г.Москва, округ Западный, р-н Раменки, ул.Минская",41.95,135.0,бизнес,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
134.0,21281862001.0,134/507,-1,ЖК Преображенская площадь | https://erzrf.ru/novostroyki/zhk-preobrazhenskaja-ploshhad-21281862001?regionKey=143443001&gkId=21281862001,г.Москва,"г.Москва, округ Восточный, р-н Преображенское, ул.1-я Бухвостова",41.8,463.0,элитный,многоэтажные дома,НИИДАР-Недвижимость (Специализированный застройщик) | https://erzrf.ru/zastroyschiki/brand/21281696001?regionKey=0&organizationId=21281696001,н/р
135.0,18116168001.0,135/510,-1,ЖК Русские Сезоны | https://erzrf.ru/novostroyki/zhk-russkie-sezony-18116168001?regionKey=143443001&gkId=18116168001,г.Москва,"г.Москва, округ Центральный, р-н Замоскворечье, ул.Пятницкая",41.75,6.0,элитный,многоэтажные дома,СЗ Экран | https://erzrf.ru/zastroyschiki/brand/18116010001?regionKey=0&organizationId=18116010001,н/р
136.0,22862233001.0,136/511,0,ЖК Balance Жилые кварталы 2 | https://erzrf.ru/novostroyki/zhk-balance-zhilye-kvartaly-2-22862233001?regionKey=143443001&gkId=22862233001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Рязанский, пр-кт Рязанский",41.7,153.0,бизнес,высотные дома,ГК Главстрой | https://erzrf.ru/zastroyschiki/brand/1961151001?regionKey=0&organizationId=1961151001,1.5
137.0,16404746001.0,137/514,0,"ЖК Тессинский, 1 | https://erzrf.ru/novostroyki/zhk-tessinskij-1-16404746001?regionKey=143443001&gkId=16404746001",г.Москва,"г.Москва, округ Центральный, р-н Таганский, пер.Николоворобинский Б.",41.65,13.0,элитный,многоэтажные дома,СЗ Стрелецкая Слобода | https://erzrf.ru/zastroyschiki/brand/7111204001?regionKey=0&organizationId=7111204001,н/р
138.0,7668800001.0,138/518,0,ЖК Крылья | https://erzrf.ru/novostroyki/zhk-krylja-7668800001?regionKey=143443001&gkId=7668800001,г.Москва,"г.Москва, округ Западный, р-н Раменки, ул.Лобачевского",41.6,138.0,бизнес,высотные дома,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
139.0,21415023001.0,138/518,+25,ЖК Молжаниново | https://erzrf.ru/novostroyki/zhk-molzhaninovo-21415023001?regionKey=143443001&gkId=21415023001,г.Москва,"г.Москва, округ Северный, р-н Молжаниновский",41.6,504.0,эконом,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
140.0,10088757001.0,140/522,-1,ЖК Dialog | https://erzrf.ru/novostroyki/zhk-dialog-10088757001?regionKey=143443001&gkId=10088757001,г.Москва,"г.Москва, округ Центральный, р-н Красносельский, ул.Большая Спасская",41.55,20.0,элитный,дома повышенной этажности,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
141.0,22705258001.0,140/522,-1,ЖК Level Академическая | https://erzrf.ru/novostroyki/zhk-level-akademicheskaja-22705258001?regionKey=143443001&gkId=22705258001,г.Москва,"г.Москва, округ Юго-Западный, р-н Академический, ул.Профсоюзная",41.55,51.0,бизнес,дома повышенной этажности,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
142.0,18896860001.0,140/522,-1,ЖК Интонация | https://erzrf.ru/novostroyki/zhk-intonacija-18896860001?regionKey=143443001&gkId=18896860001,г.Москва,"г.Москва, округ Северо-Западный, р-н Щукино, ул.Щукинская",41.55,39.0,бизнес,дома повышенной этажности,Мангазея | https://erzrf.ru/zastroyschiki/brand/3126628001?regionKey=0&organizationId=3126628001,н/р
143.0,14153368001.0,143/526,0,ЖК MONODOM FAMILY | https://erzrf.ru/novostroyki/zhk-dom-na-pr-zolotorozhskij-14153368001?regionKey=143443001&gkId=14153368001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Лефортово, пр-д Золоторожский",41.5,1.0,бизнес,многоэтажные дома,ГК SUN DEVELOPMENT | https://erzrf.ru/zastroyschiki/brand/14409548001?regionKey=0&organizationId=14409548001,1.0
144.0,11447020001.0,143/526,0,ЖК RiverSky | https://erzrf.ru/novostroyki/zhk-riversky-11447020001?regionKey=143443001&gkId=11447020001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Восточная",41.5,78.0,бизнес,высотные дома,ГК ИНГРАД | https://erzrf.ru/zastroyschiki/brand/3955566001?regionKey=0&organizationId=3955566001,1.5
145.0,18924810001.0,145/531,+1,ЖК Level Нагатинская | https://erzrf.ru/novostroyki/zhk-level-nagatinskaja-18924810001?regionKey=143443001&gkId=18924810001,г.Москва,"г.Москва, округ Южный, р-н Нагатино-Садовники, наб.Нагатинская",41.45,10.0,бизнес,высотные дома,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
146.0,7592664001.0,145/531,+1,ЖК Большая Дмитровка IX | https://erzrf.ru/novostroyki/zhk-bolshaja-dmitrovka-ix-7592664001?regionKey=143443001&gkId=7592664001,г.Москва,"г.Москва, округ Центральный, р-н Тверской, ул.Большая Дмитровка",41.45,19.0,элитный,многоэтажные дома,ИНГЕОЦЕНТР | https://erzrf.ru/zastroyschiki/brand/7592573001?regionKey=0&organizationId=7592573001,0.5
147.0,14149501001.0,147/546,+1,ЖК Holland park | https://erzrf.ru/novostroyki/zhk-holland-park-14149501001?regionKey=143443001&gkId=14149501001,г.Москва,"г.Москва, округ Северо-Западный, р-н Покровское-Стрешнево, ш.Волоколамское",41.2,524.0,эконом,высотные дома,Стадион Спартак | https://erzrf.ru/zastroyschiki/brand/10336172001?regionKey=0&organizationId=10336172001,5.0
148.0,4350511001.0,147/546,+1,ЖК Кварталы 21/19 | https://erzrf.ru/novostroyki/zhk-kvartaly-2119-4350511001?regionKey=143443001&gkId=4350511001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Рязанский, пр-кт Рязанский",41.2,2.0,комфорт,дома повышенной этажности,ГК ВекторСтройФинанс | https://erzrf.ru/zastroyschiki/brand/4845862001?regionKey=0&organizationId=4845862001,5.0
149.0,10733295001.0,149/556,+1,ЖК MAINSTREET (МейнСтрит) | https://erzrf.ru/novostroyki/zhk-mainstreet-mejnstrit-10733295001?regionKey=143443001&gkId=10733295001,г.Москва,"г.Москва, округ Западный, р-н Фили-Давыдково, ул.Ивана Франко",41.0,11.0,бизнес,высотные дома,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
150.0,9882888001.0,149/556,+166,ЖК RED7 | https://erzrf.ru/novostroyki/zhk-red7-9882888001?regionKey=143443001&gkId=9882888001,г.Москва,"г.Москва, округ Центральный, р-н Красносельский, ул.Академика Сахарова",41.0,53.0,бизнес,дома повышенной этажности,ГК ОСНОВА | https://erzrf.ru/zastroyschiki/brand/6201034001?regionKey=0&organizationId=6201034001,5.0
151.0,6484054001.0,151/560,0,ЖК Wellton Towers | https://erzrf.ru/novostroyki/zhk-wellton-towers-6484054001?regionKey=143443001&gkId=6484054001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, квартал 75, ул.Народного Ополчения",40.95,1.0,бизнес,высотные дома,Концерн КРОСТ | https://erzrf.ru/zastroyschiki/brand/430109001?regionKey=0&organizationId=430109001,1.5
152.0,16254061001.0,152/564,0,ЖК Кронштадтский 9 | https://erzrf.ru/novostroyki/zhk-kronshtadtskij-9-16254061001?regionKey=143443001&gkId=16254061001,г.Москва,"г.Москва, округ Северный, р-н Головинский, б-р Кронштадтский",40.9,292.0,эконом,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
153.0,13395069001.0,153/572,0,ЖК Trend | https://erzrf.ru/novostroyki/zhk-trend-13395069001?regionKey=143443001&gkId=13395069001,г.Москва,"г.Москва, округ Северо-Западный, р-н Щукино, пер.1-ый Пехотный",40.85,1.0,бизнес,высотные дома,ГК Град | https://erzrf.ru/zastroyschiki/brand/3498218001?regionKey=0&organizationId=3498218001,1.5
154.0,21169363001.0,154/578,0,ЖК Vangarden | https://erzrf.ru/novostroyki/zhk-vangarden-21169363001?regionKey=143443001&gkId=21169363001,г.Москва,"г.Москва, округ Западный, р-н Очаково-Матвеевское, ш.Очаковское",40.8,149.0,комфорт,дома повышенной этажности,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
155.0,15918153001.0,155/580,0,ЖК ОКО | https://erzrf.ru/novostroyki/zhk-oko-15918153001?regionKey=143443001&gkId=15918153001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, пр-д 1-й Красногвардейский",40.75,72.0,элитный,высотные дома,Capital Group | https://erzrf.ru/zastroyschiki/brand/430410001?regionKey=0&organizationId=430410001,5.0
156.0,15285329001.0,156/587,0,ЖК TopHILLS | https://erzrf.ru/novostroyki/zhk-tophills-15285329001?regionKey=143443001&gkId=15285329001,г.Москва,"г.Москва, округ Южный, р-н Нагорный, пр-д Электролитный",40.6,28.0,бизнес,высотные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
157.0,20821154001.0,157/589,0,ЖК GloraX Premium Белорусская | https://erzrf.ru/novostroyki/zhk-glorax-aura-belorusskaya-20821154001?regionKey=143443001&gkId=20821154001,г.Москва,"г.Москва, округ Северный, р-н Беговой, ул.1-я Ямского Поля",40.5,47.0,элитный,дома повышенной этажности,ГК Glorax | https://erzrf.ru/zastroyschiki/brand/1931581001?regionKey=0&organizationId=1931581001,3.5
158.0,1924056001.0,157/589,0,ЖК Лефорт | https://erzrf.ru/novostroyki/zhk-lefort-1924056001?regionKey=143443001&gkId=1924056001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Лефортово, пер.Солдатский",40.5,1.0,бизнес,многоэтажные дома,Интерфлора | https://erzrf.ru/zastroyschiki/brand/4848082001?regionKey=0&organizationId=4848082001,н/р
159.0,9898105001.0,159/593,0,ЖК Городские истории | https://erzrf.ru/novostroyki/zhk-gorodskie-istorii-9898105001?regionKey=143443001&gkId=9898105001,г.Москва,"с.п.Внуковское, округ Новомосковский",40.45,208.0,комфорт,высотные дома,ТПУ Рассказовка | https://erzrf.ru/zastroyschiki/brand/9899175001?regionKey=0&organizationId=9899175001,0.5
160.0,21357931001.0,160/601,+9,ЖК Верейская 41 | https://erzrf.ru/novostroyki/zhk-verejskaja-41-21357931001?regionKey=143443001&gkId=21357931001,г.Москва,"г.Москва, округ Западный, р-н Можайский, ул.Верейская",40.3,120.0,эконом,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
161.0,16659025001.0,161/603,-1,ЖК Eniteo (Энитео) | https://erzrf.ru/novostroyki/zhk-eniteo-eniteo-16659025001?regionKey=143443001&gkId=16659025001,г.Москва,"г.Москва, округ Юго-Западный, р-н Котловка, ул.Большая Черемушкинская",40.25,60.0,бизнес,высотные дома,TEKTA GROUP | https://erzrf.ru/zastroyschiki/brand/1390311001?regionKey=0&organizationId=1390311001,3.5
162.0,23929504001.0,162/605,-1,ЖК Прокшино (пос. Сосенское) | https://erzrf.ru/novostroyki/zhk-prokshino-pos-sosenskoe-23929504001?regionKey=143443001&gkId=23929504001,г.Москва,"с.п.Сосенское, округ Новомосковский",40.2,1170.0,комфорт,дома повышенной этажности,ГК А101 | https://erzrf.ru/zastroyschiki/brand/1075233001?regionKey=0&organizationId=1075233001,5.0
163.0,15760637001.0,162/605,-1,ЖК Прокшино | https://erzrf.ru/novostroyki/zhk-prokshino-15760637001?regionKey=143443001&gkId=15760637001,г.Москва,"дер.Николо-Хованское, округ Новомосковский, мрн поселение Сосенское",40.2,1170.0,комфорт,многоэтажные дома,ГК А101 | https://erzrf.ru/zastroyschiki/brand/1075233001?regionKey=0&organizationId=1075233001,5.0
164.0,12927201001.0,164/623,-1,ЖК Поклонная 9 | https://erzrf.ru/novostroyki/zhk-poklonnaja-9-12927201001?regionKey=143443001&gkId=12927201001,г.Москва,"г.Москва, округ Западный, р-н Дорогомилово, ул.Поклонная",40.0,12.0,элитный,высотные дома,ANT Development | https://erzrf.ru/zastroyschiki/brand/12919696001?regionKey=0&organizationId=12919696001,1.5
165.0,6289997001.0,165/631,0,ЖК Западный порт | https://erzrf.ru/novostroyki/zhk-zapadnyj-port-6289997001?regionKey=143443001&gkId=6289997001,г.Москва,"г.Москва, округ Западный, р-н Филёвский Парк, ул.Заречная",39.8,97.0,бизнес,дома повышенной этажности,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
166.0,24477291001.0,166/633,0,ЖК ТАТЕ | https://erzrf.ru/novostroyki/zhk-tate-24477291001?regionKey=143443001&gkId=24477291001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марьина Роща, ул.Веткина",39.75,155.0,бизнес,высотные дома,ГК КОРТРОС | https://erzrf.ru/zastroyschiki/brand/429541001?regionKey=0&organizationId=429541001,4.0
167.0,22690275001.0,167/636,0,ЖК Portland | https://erzrf.ru/novostroyki/zhk-portland-22690275001?regionKey=143443001&gkId=22690275001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Печатники, ул.Южнопортовая",39.6,67.0,бизнес,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
168.0,11733399001.0,167/636,0,ЖК Клубный дом КУЗNEЦКИЙ МОСТ 12 | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-kuzneckij-most-12-11733399001?regionKey=143443001&gkId=11733399001,г.Москва,"г.Москва, округ Центральный, р-н Мещанский, ул.Кузнецкий мост",39.6,2.0,элитный,среднеэтажные дома,KR Properties | https://erzrf.ru/zastroyschiki/brand/5050110001?regionKey=0&organizationId=5050110001,4.5
169.0,24533909001.0,169/664,0,ЖК Плеханова 11 | https://erzrf.ru/novostroyki/zhk-plekhanova-11-24533909001?regionKey=143443001&gkId=24533909001,г.Москва,"г.Москва, округ Восточный, р-н Перово, ул.Плеханова",39.3,325.0,бизнес,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
170.0,15230622001.0,170/673,+1,ЖК Настоящее | https://erzrf.ru/novostroyki/zhk-nastojashhee-15230622001?regionKey=143443001&gkId=15230622001,г.Москва,"г.Москва, округ Западный, р-н Раменки, ул.Винницкая",39.15,43.0,бизнес,высотные дома,ГК НИИМОССТРОЙ | https://erzrf.ru/zastroyschiki/brand/15230361001?regionKey=0&organizationId=15230361001,н/р
171.0,21932108001.0,171/676,+1,ЖК Level Селигерская | https://erzrf.ru/novostroyki/zhk-level-seligerskaja-21932108001?regionKey=143443001&gkId=21932108001,г.Москва,"г.Москва, округ Северный, р-н Западное Дегунино, пр-д Ильменский",39.1,31.0,комфорт,высотные дома,Level Group | https://erzrf.ru/zastroyschiki/brand/6150430001?regionKey=0&organizationId=6150430001,4.5
172.0,23147645001.0,171/676,+19,ЖК Квартал Марьино | https://erzrf.ru/novostroyki/zhk-kvartal-marino-23147645001?regionKey=143443001&gkId=23147645001,г.Москва,"г.п.Филимонковское, округ Новомосковский, квартал 176",39.1,313.0,эконом,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
173.0,10847009001.0,173/680,0,ЖК Клубный дом Долгоруковская 25 | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-dolgorukovskaja-25-10847009001?regionKey=143443001&gkId=10847009001,г.Москва,"г.Москва, округ Центральный, р-н Тверской, ул.Долгоруковская",39.05,8.0,элитный,среднеэтажные дома,Русские отели | https://erzrf.ru/zastroyschiki/brand/23464181001?regionKey=0&organizationId=23464181001,н/р
174.0,1902557001.0,174/687,0,ЖК SKY HOUSE | https://erzrf.ru/novostroyki/zhk-sky-house-1902557001?regionKey=143443001&gkId=1902557001,г.Москва,"г.Москва, округ Центральный, р-н Якиманка, ул.Мытная",39.0,29.0,бизнес,высотные дома,MOS CITY GROUP | https://erzrf.ru/zastroyschiki/brand/1900881001?regionKey=0&organizationId=1900881001,0.5
175.0,15699330001.0,175/698,0,ЖК Большая Очаковская 2 | https://erzrf.ru/novostroyki/zhk-bolshaja-ochakovskaja-2-15699330001?regionKey=143443001&gkId=15699330001,г.Москва,"г.Москва, округ Западный, р-н Очаково-Матвеевское, ул.Большая Очаковская",38.85,92.0,комфорт,высотные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
176.0,17719924001.0,176/703,0,ЖК Ever (Эвер) | https://erzrf.ru/novostroyki/zhk-ever-ever-17719924001?regionKey=143443001&gkId=17719924001,г.Москва,"г.Москва, округ Юго-Западный, р-н Обручевский, ул.Обручева",38.75,224.0,бизнес,высотные дома,TEKTA GROUP | https://erzrf.ru/zastroyschiki/brand/1390311001?regionKey=0&organizationId=1390311001,3.5
177.0,10832721001.0,176/703,0,ЖК Russian Design District | https://erzrf.ru/novostroyki/zhk-russian-design-district-10832721001?regionKey=143443001&gkId=10832721001,г.Москва,"поселение Десеновское, округ Новомосковский",38.75,40.0,бизнес,многоэтажные дома,ГК Родина | https://erzrf.ru/zastroyschiki/brand/21959217001?regionKey=0&organizationId=21959217001,5.0
178.0,9554595001.0,176/703,0,ЖК Рихард | https://erzrf.ru/novostroyki/zhk-rikhard-9554595001?regionKey=143443001&gkId=9554595001,г.Москва,"г.Москва, округ Северный, р-н Хорошёвский, ул.Зорге",38.75,5.0,бизнес,высотные дома,ГК ФСК | https://erzrf.ru/zastroyschiki/brand/755344001?regionKey=0&organizationId=755344001,4.0
